Date,Description,Amount
2024-09-07,Broadband Recharge,4436
2024-01-16,Laptop Purchase,45053
2024-05-20,Notion Annual,767
2024-08-22,Notion Annual,1877
2024-02-27,WiFi Payment,4984
2024-07-06,Printer Paper,2524
2024-10-06,Local Vendor,3815
2024-11-30,GitHub Pro,1338
2024-01-17,Notion Annual,7666
2024-02-14,Broadband Recharge,3655
2024-04-17,Electricity Bill,2741
2024-11-19,Restaurant Meeting,2799
2024-03-12,Google Ads,11095
2024-01-31,Zoom License,7098
2024-11-01,Restaurant Meeting,1451
2024-12-26,Repair Service,2851
2024-05-16,Flight Booking,4891
2024-07-29,Local Vendor,1310
2024-12-01,Payroll Transfer,76822
2024-03-15,Monitor Setup,24362
2024-12-12,Swiggy Team Lunch,3418
2024-10-22,Facebook Ads,3329
2024-08-19,Rail Ticket,3273
2024-07-25,Pens Purchase,681
2024-07-07,Courier Charge,5891
2024-10-24,Broadband Recharge,3481
2024-08-22,Intern Stipend,26104
2024-09-30,Swiggy Team Lunch,3559
2024-04-18,Google Ads,8039
2024-05-25,Broadband Recharge,3444
2024-03-07,Restaurant Meeting,2667
2024-01-24,Broadband Recharge,1196
2024-01-09,Pens Purchase,2182
2024-08-21,Office Stationery,2107
2024-12-18,Payroll Transfer,33259
2024-05-20,Office Chair,18418
2024-05-08,Pens Purchase,1776
2024-03-25,Printer Paper,2957
2024-06-05,Payroll Transfer,60999
2024-02-16,GitHub Pro,5869
2024-09-01,Office Stationery,1174
2024-04-25,Office Stationery,2731
2024-01-05,Misc Purchase,276
2024-08-04,Swiggy Team Lunch,3823
2024-04-27,Desk Equipment,12641
2024-02-22,Google Ads,12972
2024-06-02,Printer Paper,1805
2024-03-09,Desk Equipment,58689
2024-10-15,Laptop Purchase,42767
2024-03-25,Intern Stipend,62599
2024-11-17,Broadband Recharge,2545
2024-12-17,Desk Equipment,48375
2024-02-21,Electricity Bill,1510
2024-07-15,Laptop Purchase,46638
2024-03-12,Zomato Dinner,1588
2024-02-13,Notion Annual,5780
2024-12-19,Notion Annual,6881
2024-06-03,Intern Stipend,77398
2024-07-19,Zoom License,6626
2024-09-10,Uber Ride,2160
2024-09-12,Google Ads,4949
2024-07-03,Pens Purchase,349
2024-10-18,Swiggy Team Lunch,1884
2024-12-15,Facebook Ads,9951
2024-02-07,Desk Equipment,58486
2024-01-08,Intern Stipend,24425
2024-01-31,Ola Cab,526
2024-11-17,Canva Pro,5693
2024-12-25,Misc Purchase,3669
2024-10-01,Google Ads,11494
2024-02-12,Repair Service,2473
2024-04-14,Uber Ride,4388
2024-10-27,Office Chair,33606
2024-05-02,Printer Paper,2091
2024-08-10,Employee Salary,25650
2024-11-07,Printer Paper,2807
2024-12-02,Payroll Transfer,63652
2024-12-28,Laptop Purchase,8830
2024-09-11,Laptop Purchase,18736
2024-05-12,Restaurant Meeting,2418
2024-05-17,Office Chair,16318
2024-08-07,Office Stationery,1672
2024-12-30,Uber Ride,2354
2024-09-18,Printer Paper,2164
2024-10-17,Swiggy Team Lunch,2346
2024-05-10,Office Chair,18309
2024-04-26,Pens Purchase,772
2024-01-07,Local Vendor,560
2024-07-05,AWS Subscription,4364
2024-01-19,Google Ads,3932
2024-06-13,Misc Purchase,2039
2024-06-12,GitHub Pro,6400
2024-07-09,Uber Ride,4882
2024-04-01,Pens Purchase,515
2024-02-05,AWS Subscription,3784
2024-06-16,Broadband Recharge,3345
2024-01-05,Pens Purchase,2170
2024-10-15,Swiggy Team Lunch,1494
2024-07-07,Ola Cab,4000
2024-03-18,Electricity Bill,2808
2024-04-29,Payroll Transfer,21566
2024-12-21,Courier Charge,5409
2024-12-02,Payroll Transfer,20095
2024-06-06,Canva Pro,12914
2024-05-01,Office Stationery,2470
2024-03-13,Facebook Ads,1981
2024-04-28,Uber Ride,559
2024-07-09,Misc Purchase,5941
2024-10-24,WiFi Payment,1495
2024-11-22,Pens Purchase,846
2024-10-17,Google Ads,10697
2024-03-07,Payroll Transfer,63413
2024-06-10,Notion Annual,2638
2024-06-16,Canva Pro,14629
2024-04-29,Zomato Dinner,1413
2024-10-26,Office Stationery,857
2024-03-25,Office Stationery,732
2024-07-27,Broadband Recharge,3372
2024-04-16,Pens Purchase,1767
2024-05-15,Broadband Recharge,4595
2024-12-17,Office Stationery,945
2024-06-16,Uber Ride,1961
2024-05-07,Laptop Purchase,54606
2024-01-26,Zomato Dinner,2403
2024-01-16,Flight Booking,1624
2024-10-08,Facebook Ads,10108
2024-02-22,AWS Subscription,4285
2024-02-01,Laptop Purchase,8783
2024-07-24,Zoom License,2123
2024-11-26,Restaurant Meeting,2881
2024-05-12,Pens Purchase,2700
2024-04-11,Office Stationery,564
2024-06-18,Electricity Bill,1553
2024-01-26,Office Stationery,2188
2024-07-21,Desk Equipment,55476
2024-12-15,Electricity Bill,3935
2024-04-19,Google Ads,6799
2024-08-16,Office Chair,26340
2024-11-13,Laptop Purchase,48246
2024-07-29,Notion Annual,4586
2024-02-14,Misc Purchase,699
2024-08-02,Rail Ticket,1324
2024-10-05,Zoom License,5667
2024-12-31,Payroll Transfer,71243
2024-09-05,Zomato Dinner,2530
2024-06-13,Restaurant Meeting,2357
2024-01-14,Facebook Ads,3946
2024-01-16,Restaurant Meeting,1197
2024-09-28,Uber Ride,4064
2024-03-22,Restaurant Meeting,1253
2024-05-03,Office Stationery,2990
2024-10-21,Uber Ride,1997
2024-03-29,Facebook Ads,14749
2024-06-11,Monitor Setup,46831
2024-12-26,Restaurant Meeting,415
2024-03-13,Restaurant Meeting,2608
2024-06-07,GitHub Pro,4941
2024-02-16,Desk Equipment,10487
2024-04-22,Employee Salary,59430
2024-01-01,Intern Stipend,51325
2024-03-07,Restaurant Meeting,1125
2024-06-14,Restaurant Meeting,1026
2024-10-27,Employee Salary,29680
2024-07-05,Laptop Purchase,42491
2024-10-27,Printer Paper,1920
2024-06-14,Printer Paper,1536
2024-08-11,Monitor Setup,55995
2024-03-30,WiFi Payment,3399
2024-12-06,Courier Charge,2028
2024-12-18,Desk Equipment,28107
2024-01-01,Ola Cab,1655
2024-04-03,Canva Pro,1530
2024-11-23,Restaurant Meeting,1204
2024-06-18,Printer Paper,876
2024-06-12,Office Stationery,1720
2024-12-09,Laptop Purchase,54462
2024-05-15,Zomato Dinner,346
2024-02-04,Zoom License,6178
2024-02-25,Zomato Dinner,3523
2024-08-12,Employee Salary,45292
2024-09-09,Google Ads,7783
2024-07-11,Facebook Ads,9946
2024-11-29,Printer Paper,2667
2024-02-07,Zoom License,4196
2024-06-12,Payroll Transfer,21315
2024-06-24,Uber Ride,807
2024-02-08,Desk Equipment,18545
2024-10-31,Local Vendor,2968
2024-08-08,WiFi Payment,1053
2024-01-28,Desk Equipment,18295
2024-04-07,Printer Paper,1141
2024-10-03,Canva Pro,10078
2024-05-01,Flight Booking,2636
2024-10-19,Office Stationery,1909
2024-01-28,Misc Purchase,1458
2024-02-14,Swiggy Team Lunch,2051
2024-02-19,Rail Ticket,1835
2024-11-22,Employee Salary,31195
2024-02-29,Uber Ride,4079
2024-09-07,Rail Ticket,4057
2024-07-17,Uber Ride,4657
2024-07-08,Office Chair,32998
2024-05-14,Desk Equipment,10924
2024-04-25,Broadband Recharge,2957
2024-12-22,Uber Ride,1438
2024-10-04,Office Stationery,1708
2024-10-10,Canva Pro,4727
2024-09-24,Payroll Transfer,73635
2024-08-31,Canva Pro,12256
2024-02-10,GitHub Pro,2948
2024-09-14,Canva Pro,1568
2024-08-17,Repair Service,1185
2024-04-08,Monitor Setup,21886
2024-02-10,Laptop Purchase,35746
2024-11-17,Google Ads,14476
2024-02-04,Office Chair,28955
2024-07-22,Printer Paper,2578
2024-09-23,Courier Charge,2462
2024-02-27,Electricity Bill,4237
2024-10-17,Google Ads,3428
2024-02-21,Office Stationery,2604
2024-05-15,Flight Booking,3566
2024-10-19,Canva Pro,8955
2024-05-21,Electricity Bill,2210
2024-11-07,Google Ads,11129
2024-06-18,Google Ads,7484
2024-08-31,AWS Subscription,6609
2024-06-21,Flight Booking,365
2024-09-08,Flight Booking,2496
2024-06-02,Office Stationery,850
2024-08-01,Broadband Recharge,3007
2024-04-18,Office Stationery,2109
2024-09-21,Canva Pro,8937
2024-03-22,Swiggy Team Lunch,2410
2024-07-25,Printer Paper,2375
2024-04-08,Laptop Purchase,19386
2024-01-17,AWS Subscription,2543
2024-12-26,Electricity Bill,3752
2024-08-25,Notion Annual,3517
2024-03-04,Misc Purchase,5405
2024-09-07,Employee Salary,44409
2024-10-27,Electricity Bill,4687
2024-03-24,Courier Charge,3020
2024-01-15,Uber Ride,2535
2024-10-19,Google Ads,3669
2024-04-25,Zoom License,5803
2024-07-28,Notion Annual,5837
2024-01-05,Local Vendor,5788
2024-11-03,Electricity Bill,2218
2024-11-07,Employee Salary,36540
2024-07-11,Flight Booking,3671
2024-04-21,Zomato Dinner,1332
2024-10-26,Broadband Recharge,4053
2024-12-05,Office Stationery,2395
2024-10-31,Restaurant Meeting,2951
2024-09-03,Flight Booking,1085
2024-11-23,Printer Paper,1432
2024-12-01,Zomato Dinner,1369
2024-09-21,Ola Cab,1428
2024-11-03,AWS Subscription,7098
2024-12-14,Canva Pro,6236
2024-09-11,Laptop Purchase,50952
2024-07-26,Flight Booking,3628
2024-10-25,Canva Pro,1578
2024-12-31,Notion Annual,6451
2024-12-09,GitHub Pro,7926
2024-03-28,Restaurant Meeting,1529
2024-02-19,Repair Service,2606
2024-10-13,Electricity Bill,2918
2024-02-15,Office Chair,50889
2024-06-06,Notion Annual,2329
2024-05-13,Facebook Ads,7089
2024-08-28,Rail Ticket,1164
2024-10-24,Intern Stipend,58245
2024-09-13,Printer Paper,1096
2024-09-28,Pens Purchase,1863
2024-03-18,Rail Ticket,642
2024-07-28,Monitor Setup,30457
2024-04-02,Electricity Bill,3391
2024-11-19,Printer Paper,1662
2024-01-30,Office Chair,49582
2024-04-17,Payroll Transfer,37925
2024-02-15,Monitor Setup,40084
2024-08-07,Desk Equipment,49516
2024-07-15,Facebook Ads,8821
2024-04-12,Employee Salary,54981
2024-06-13,Swiggy Team Lunch,3953
2024-12-12,Repair Service,346
2024-05-07,Intern Stipend,68077
2024-03-07,Notion Annual,3056
2024-10-28,Printer Paper,2361
2024-01-24,Ola Cab,734
2024-09-23,Flight Booking,3934
2024-12-17,Courier Charge,3752
2024-07-02,Office Chair,40124
2024-07-25,Zoom License,7929
2024-03-08,Employee Salary,34701
2024-09-15,AWS Subscription,5330
2024-12-30,Laptop Purchase,32024
2024-11-23,Payroll Transfer,77445
2024-12-04,Uber Ride,592
2024-01-25,Pens Purchase,380
2024-07-13,Printer Paper,2119
2024-08-30,Pens Purchase,1335
2024-12-17,Monitor Setup,53560
2024-12-04,Payroll Transfer,47582
2024-05-18,Pens Purchase,2431
2024-09-18,Desk Equipment,14875
2024-02-24,Printer Paper,766
2024-05-14,Electricity Bill,2436
2024-12-26,Repair Service,3132
2024-01-21,Facebook Ads,3627
2024-12-18,Misc Purchase,1901
2024-01-02,Broadband Recharge,2721
2024-02-26,Intern Stipend,25832
2024-09-18,Electricity Bill,1537
2024-05-11,Pens Purchase,714
2024-05-15,GitHub Pro,2925
2024-03-30,Electricity Bill,1617
2024-12-12,Payroll Transfer,43607
2024-02-29,Zomato Dinner,3325
2024-03-11,Office Stationery,339
2024-08-12,Office Chair,31430
2024-06-24,Uber Ride,3252
2024-07-23,Laptop Purchase,34265
2024-12-19,Broadband Recharge,3959
2024-02-27,Broadband Recharge,2166
2024-02-23,Laptop Purchase,18446
2024-10-18,Canva Pro,8908
2024-07-02,Electricity Bill,3910
2024-03-07,Intern Stipend,77668
2024-07-29,Broadband Recharge,1725
2024-05-13,Electricity Bill,1318
2024-12-13,Swiggy Team Lunch,3185
2024-06-22,Repair Service,5687
2024-12-04,Local Vendor,3745
2024-12-05,GitHub Pro,3332
2024-10-12,Google Ads,14746
2024-03-21,Employee Salary,62165
2024-03-25,Misc Purchase,4261
2024-05-03,Printer Paper,1613
2024-09-16,Zomato Dinner,506
2024-04-30,GitHub Pro,3803
2024-10-20,Printer Paper,2119
2024-08-16,Electricity Bill,4883
2024-11-30,Swiggy Team Lunch,2337
2024-07-30,Employee Salary,46439
2024-01-01,Intern Stipend,55985
2024-11-22,Pens Purchase,2835
2024-06-23,Ola Cab,3937
2024-04-24,Swiggy Team Lunch,3644
2024-12-02,Broadband Recharge,4675
2024-02-28,Restaurant Meeting,2153
2024-01-02,Pens Purchase,1208
2024-11-20,Zomato Dinner,3699
2024-01-24,Flight Booking,1070
2024-07-28,Desk Equipment,17204
2024-04-10,Printer Paper,2802
2024-07-20,AWS Subscription,7481
2024-04-07,GitHub Pro,7254
2024-07-31,Swiggy Team Lunch,3401
2024-12-10,Intern Stipend,74884
2024-12-03,Printer Paper,2173
2024-01-03,Repair Service,4286
2024-08-09,Local Vendor,4732
2024-12-20,WiFi Payment,2251
2024-07-17,Monitor Setup,14786
2024-07-15,Restaurant Meeting,3910
2024-05-07,Canva Pro,12346
2024-05-30,Rail Ticket,3008
2024-07-30,Electricity Bill,1931
2024-10-07,Courier Charge,5946
2024-10-10,Restaurant Meeting,3318
2024-11-15,Zoom License,2217
2024-12-29,Flight Booking,1286
2024-02-29,Office Chair,54553
2024-10-25,Restaurant Meeting,2267
2024-09-30,Canva Pro,13253
2024-09-24,Rail Ticket,304
2024-03-15,Office Stationery,1860
2024-04-12,Intern Stipend,23709
2024-12-15,Ola Cab,2547
2024-12-19,Ola Cab,708
2024-01-17,Ola Cab,4633
2024-11-11,Zomato Dinner,719
2024-10-14,Repair Service,5501
2024-12-22,Google Ads,9370
2024-07-17,Uber Ride,3325
2024-10-09,Canva Pro,6122
2024-05-08,Employee Salary,68737
2024-04-25,GitHub Pro,7299
2024-11-04,Restaurant Meeting,2538
2024-08-17,Zoom License,2909
2024-03-29,Laptop Purchase,20253
2024-01-21,Local Vendor,3290
2024-05-15,Facebook Ads,10119
2024-05-10,Monitor Setup,46272
2024-12-29,Payroll Transfer,50561
2024-06-14,Laptop Purchase,18073
2024-12-04,Intern Stipend,60344
2024-10-08,Rail Ticket,4891
2024-12-28,Swiggy Team Lunch,3511
2024-04-04,Restaurant Meeting,1200
2024-03-22,Local Vendor,4338
2024-07-25,Canva Pro,9798
2024-04-19,Printer Paper,1206
2024-05-30,Zomato Dinner,1777
2024-11-28,GitHub Pro,5098
2024-06-26,Employee Salary,63839
2024-01-21,Electricity Bill,2797
2024-02-28,Zomato Dinner,3561
2024-05-24,Facebook Ads,9851
2024-07-10,Intern Stipend,73877
2024-01-23,Misc Purchase,4187
2024-09-20,Ola Cab,2824
2024-10-02,Office Stationery,985
2024-02-03,Local Vendor,5335
2024-12-16,Zoom License,7585
2024-10-02,Google Ads,4368
2024-02-06,Canva Pro,14381
2024-06-18,Laptop Purchase,38095
2024-01-28,Employee Salary,24800
2024-02-06,Office Chair,44574
2024-07-17,Notion Annual,3839
2024-08-09,WiFi Payment,4113
2024-12-10,Swiggy Team Lunch,1895
2024-11-24,Pens Purchase,324
2024-01-24,Pens Purchase,2698
2024-02-24,Printer Paper,2359
2024-05-24,Flight Booking,908
2024-12-04,Broadband Recharge,4036
2024-09-30,Payroll Transfer,30244
2024-07-19,Zoom License,6617
2024-03-14,Courier Charge,5394
2024-10-10,Flight Booking,291
2024-01-22,Repair Service,1209
2024-07-20,Intern Stipend,59102
2024-04-17,Local Vendor,2696
2024-11-26,Swiggy Team Lunch,1990
2024-04-04,Repair Service,1518
2024-02-28,Notion Annual,2091
2024-10-08,Laptop Purchase,57220
2024-05-28,WiFi Payment,1399
2024-04-11,Printer Paper,702
2024-03-06,Broadband Recharge,3725
2024-11-13,AWS Subscription,2835
2024-09-05,Office Stationery,1601
2024-12-21,Broadband Recharge,3304
2024-08-07,Office Chair,28731
2024-05-06,Laptop Purchase,28526
2024-07-03,GitHub Pro,2766
2024-08-24,Office Chair,39454
2024-09-06,Broadband Recharge,3302
2024-11-26,Local Vendor,1639
2024-10-02,Printer Paper,873
2024-11-16,Notion Annual,6509
2024-01-10,Pens Purchase,608
2024-10-23,Local Vendor,4966
2024-01-19,Canva Pro,4485
2024-10-03,Courier Charge,4652
2024-07-06,WiFi Payment,2017
2024-10-28,Google Ads,13650
2024-09-13,Ola Cab,4006
2024-07-05,Local Vendor,3450
2024-05-02,Local Vendor,5628
2024-03-22,Monitor Setup,37243
2024-09-04,Monitor Setup,56229
2024-09-06,Swiggy Team Lunch,1196
2024-07-08,AWS Subscription,2665
2024-04-15,AWS Subscription,5977
2024-08-28,Courier Charge,3379
2024-11-28,Electricity Bill,1126
2024-09-23,Swiggy Team Lunch,3182
2024-10-05,Flight Booking,4940
2024-07-12,Desk Equipment,50839
2024-02-09,Restaurant Meeting,2976
2024-04-24,Courier Charge,3282
2024-06-25,Misc Purchase,3090
2024-09-13,Broadband Recharge,854
2024-04-27,Desk Equipment,18853
2024-05-23,Pens Purchase,2935
2024-03-21,Zoom License,2031
2024-03-01,Restaurant Meeting,3238
2024-06-18,GitHub Pro,7145
2024-09-02,Printer Paper,2261
2024-07-29,Zoom License,5802
2024-03-06,Employee Salary,22827
2024-09-19,Monitor Setup,49257
2024-01-29,Intern Stipend,29624
2024-09-21,Office Chair,19798
2024-11-22,Canva Pro,10234
2024-12-04,Intern Stipend,67708
2024-08-17,Uber Ride,1974
2024-04-22,Broadband Recharge,2197
2024-10-25,Canva Pro,3338
2024-12-17,Office Chair,18991
2024-10-29,Zomato Dinner,2743
2024-07-16,Office Stationery,1849
2024-04-13,Laptop Purchase,9085
2024-11-06,Misc Purchase,1425
2024-11-10,Office Stationery,2249
2024-03-01,Intern Stipend,52986
2024-03-07,Printer Paper,3000
2024-11-28,Local Vendor,5758
2024-07-08,Canva Pro,7892
2024-08-07,Intern Stipend,54722
2024-07-14,GitHub Pro,6968
2024-12-22,Restaurant Meeting,3595
2024-05-10,Printer Paper,848
2024-05-25,Electricity Bill,1486
2024-04-06,Misc Purchase,2311
2024-01-04,Intern Stipend,68735
2024-01-04,Local Vendor,4457
2024-12-18,Canva Pro,4365
2024-02-24,Zomato Dinner,1783
2024-10-26,Desk Equipment,50701
2024-08-04,Flight Booking,4591
2024-12-14,Restaurant Meeting,1428
2024-10-09,Google Ads,7770
2024-07-08,Misc Purchase,1664
2024-06-06,Misc Purchase,2278
2024-03-11,Restaurant Meeting,1930
2024-08-16,Pens Purchase,1241
2024-09-17,Laptop Purchase,22054
2024-10-08,Facebook Ads,14121
2024-11-21,Employee Salary,45500
2024-03-15,Employee Salary,73952
2024-02-15,WiFi Payment,4366
2024-07-08,Printer Paper,1208
2024-07-15,Pens Purchase,454
2024-09-23,Canva Pro,11750
2024-11-23,Uber Ride,1635
2024-04-13,Broadband Recharge,887
2024-01-18,Courier Charge,1795
2024-03-27,Repair Service,5239
2024-12-01,Payroll Transfer,35679
2024-05-21,Employee Salary,25691
2024-07-21,Facebook Ads,11971
2024-09-22,Canva Pro,4281
2024-02-05,Intern Stipend,66112
2024-10-13,Pens Purchase,1465
2024-05-21,Zomato Dinner,3640
2024-07-25,Zoom License,4225
2024-07-27,Payroll Transfer,31471
2024-02-07,Local Vendor,4776
2024-02-29,Courier Charge,2985
2024-10-21,Courier Charge,4606
2024-10-15,Rail Ticket,3289
2024-08-22,Electricity Bill,3582
2024-09-03,WiFi Payment,1024
2024-07-14,Printer Paper,576
2024-06-10,Zoom License,7054
2024-10-01,Facebook Ads,9462
2024-05-14,Intern Stipend,74537
2024-07-23,Notion Annual,1261
2024-04-01,Swiggy Team Lunch,2571
2024-04-21,Broadband Recharge,3696
2024-09-12,Ola Cab,1757
2024-05-03,Zoom License,6524
2024-04-13,Ola Cab,2077
2024-02-24,Notion Annual,1777
2024-11-10,Office Stationery,2317
2024-09-03,Intern Stipend,22769
2024-09-09,Restaurant Meeting,1591
2024-09-18,Rail Ticket,1698
2024-10-22,Rail Ticket,2019
2024-08-04,Laptop Purchase,42454
2024-09-14,WiFi Payment,1066
2024-12-17,Zomato Dinner,3824
2024-12-23,Desk Equipment,15888
2024-12-18,Misc Purchase,2785
2024-04-17,Employee Salary,64178
2024-06-15,Canva Pro,2650
2024-05-12,Restaurant Meeting,3830
2024-05-17,Office Chair,23541
2024-07-06,WiFi Payment,3610
2024-04-17,Desk Equipment,35783
2024-07-09,Canva Pro,13323
2024-08-18,Zomato Dinner,1445
2024-12-17,Monitor Setup,45741
2024-05-18,AWS Subscription,6404
2024-07-14,GitHub Pro,7514
2024-03-17,Zoom License,7053
2024-08-03,Electricity Bill,2246
2024-09-06,Electricity Bill,3386
2024-10-17,Flight Booking,4805
2024-12-19,Payroll Transfer,26486
2024-05-10,Laptop Purchase,22120
2024-08-18,WiFi Payment,1588
2024-07-03,Zomato Dinner,1778
2024-01-11,Courier Charge,3019
2024-12-13,Google Ads,6752
2024-05-25,Zoom License,6892
2024-09-18,Zomato Dinner,3057
2024-02-10,WiFi Payment,4461
2024-08-25,Canva Pro,5694
2024-06-21,Monitor Setup,49981
2024-10-19,Canva Pro,11032
2024-03-23,Google Ads,2296
2024-06-11,Swiggy Team Lunch,1584
2024-05-18,Flight Booking,3439
2024-07-30,Broadband Recharge,4488
2024-03-05,Monitor Setup,9513
2024-12-24,Notion Annual,6593
2024-07-22,Office Stationery,983
2024-08-30,Office Stationery,561
2024-07-22,Local Vendor,415
2024-05-14,Local Vendor,1051
2024-07-18,Laptop Purchase,50915
2024-05-25,Ola Cab,2226
2024-03-08,WiFi Payment,1835
2024-01-18,Repair Service,434
2024-08-31,Zomato Dinner,3839
2024-10-07,WiFi Payment,3031
2024-10-29,Electricity Bill,2250
2024-09-25,WiFi Payment,4363
2024-09-03,Courier Charge,3044
2024-08-14,Repair Service,933
2024-05-13,Flight Booking,3576
2024-01-01,Office Chair,8691
2024-05-26,Repair Service,3017
2024-12-18,WiFi Payment,868
2024-01-05,Broadband Recharge,3254
2024-04-28,Facebook Ads,10781
2024-04-06,Intern Stipend,44487
2024-07-21,Canva Pro,8161
2024-11-26,Zoom License,6356
2024-05-14,Facebook Ads,4614
2024-05-02,Printer Paper,2861
2024-11-28,Courier Charge,2532
2024-04-06,Courier Charge,3582
2024-05-28,Office Stationery,859
2024-11-12,Pens Purchase,2165
2024-04-06,Broadband Recharge,4830
2024-01-26,Swiggy Team Lunch,923
2024-02-22,Local Vendor,1723
2024-08-12,Flight Booking,1224
2024-03-18,Employee Salary,25911
2024-06-24,Payroll Transfer,34233
2024-09-12,Facebook Ads,13873
2024-01-17,Zomato Dinner,3154
2024-03-15,Swiggy Team Lunch,3755
2024-07-19,Payroll Transfer,70833
2024-04-02,Pens Purchase,2225
2024-07-14,Notion Annual,7194
2024-12-31,Employee Salary,70341
2024-08-14,GitHub Pro,6817
2024-08-23,AWS Subscription,2131
2024-08-30,Pens Purchase,1153
2024-06-14,Canva Pro,6113
2024-10-08,Laptop Purchase,56806
2024-09-03,Local Vendor,2275
2024-01-27,Ola Cab,3152
2024-11-20,AWS Subscription,2433
2024-03-26,Facebook Ads,1246
2024-05-04,Uber Ride,3442
2024-12-19,Employee Salary,58081
2024-07-09,WiFi Payment,2069
2024-09-12,Office Stationery,945
2024-06-22,Pens Purchase,2833
2024-11-26,Employee Salary,43299
2024-09-06,Laptop Purchase,16246
2024-11-26,Notion Annual,5074
2024-04-08,Zomato Dinner,3303
2024-07-02,Intern Stipend,44757
2024-09-05,Office Chair,10587
2024-10-04,WiFi Payment,3214
2024-10-05,Electricity Bill,2328
2024-08-27,Zomato Dinner,3299
2024-09-28,Ola Cab,764
2024-05-14,Desk Equipment,27377
2024-01-01,Courier Charge,3919
2024-01-10,Misc Purchase,1719
2024-06-13,Restaurant Meeting,1278
2024-07-17,Pens Purchase,2507
2024-10-09,GitHub Pro,6772
2024-07-28,Office Chair,29141
2024-09-24,Swiggy Team Lunch,694
2024-04-01,Office Stationery,831
2024-09-05,Employee Salary,27015
2024-10-19,AWS Subscription,760
2024-09-26,Canva Pro,9026
2024-04-23,Uber Ride,3201
2024-12-01,Office Stationery,1154
2024-11-23,Electricity Bill,4634
2024-07-31,Payroll Transfer,56570
2024-11-11,Restaurant Meeting,538
2024-06-04,Uber Ride,776
2024-02-19,Office Stationery,2427
2024-09-29,Pens Purchase,1246
2024-09-26,Google Ads,4164
2024-10-12,Zoom License,5074
2024-11-22,Canva Pro,2728
2024-12-25,Restaurant Meeting,2178
2024-04-02,Google Ads,3733
2024-06-21,Misc Purchase,4334
2024-06-10,Desk Equipment,31089
2024-07-30,Courier Charge,3245
2024-11-07,Canva Pro,6299
2024-10-08,Zoom License,3572
2024-08-17,Flight Booking,3906
2024-01-18,Google Ads,12899
2024-03-10,Uber Ride,4440
2024-04-23,Uber Ride,2660
2024-12-19,Notion Annual,677
2024-01-20,Ola Cab,972
2024-03-11,Broadband Recharge,2078
2024-05-07,Flight Booking,4969
2024-06-02,Notion Annual,7144
2024-10-18,Pens Purchase,1937
2024-06-15,AWS Subscription,6427
2024-12-19,Electricity Bill,4799
2024-06-02,Pens Purchase,2930
2024-10-22,Intern Stipend,72975
2024-01-29,Google Ads,13781
2024-08-10,Zomato Dinner,3903
2024-04-26,Google Ads,13622
2024-11-19,Intern Stipend,70948
2024-09-25,Google Ads,5993
2024-10-16,Payroll Transfer,55384
2024-12-23,Office Chair,40925
2024-12-10,Zoom License,913
2024-10-31,Facebook Ads,13334
2024-08-09,Local Vendor,2019
2024-03-08,Rail Ticket,1412
2024-10-19,Swiggy Team Lunch,2249
2024-05-14,Intern Stipend,46161
2024-08-10,Printer Paper,2355
2024-10-13,Monitor Setup,39517
2024-11-29,GitHub Pro,3738
2024-02-06,Zoom License,2485
2024-12-16,Rail Ticket,2849
2024-08-04,Office Stationery,1994
2024-06-13,Zomato Dinner,1080
2024-01-13,Restaurant Meeting,2984
2024-11-11,Ola Cab,3064
2024-08-13,WiFi Payment,1994
2024-12-16,Employee Salary,33086
2024-02-13,Swiggy Team Lunch,3403
2024-05-04,Pens Purchase,523
2024-06-24,Office Chair,8900
2024-08-29,Printer Paper,2143
2024-10-02,Payroll Transfer,33697
2024-09-24,Zoom License,4976
2024-12-21,Rail Ticket,1357
2024-12-05,Payroll Transfer,58207
2024-03-28,Local Vendor,2292
2024-12-22,Payroll Transfer,33152
2024-12-01,Uber Ride,4008
2024-12-04,Employee Salary,45470
2024-01-10,Flight Booking,1083
2024-07-13,Rail Ticket,2093
2024-09-05,Local Vendor,2784
2024-04-11,Local Vendor,1727
2024-12-30,Misc Purchase,4793
2024-09-28,Employee Salary,36213
2024-07-20,Flight Booking,4213
2024-12-16,Laptop Purchase,30726
2024-06-03,Zomato Dinner,2860
2024-02-01,Notion Annual,7151
2024-10-11,Rail Ticket,441
2024-06-23,Ola Cab,1442
2024-02-14,Canva Pro,3248
2024-11-09,Canva Pro,12108
2024-10-20,GitHub Pro,2469
2024-11-05,Desk Equipment,28472
2024-03-08,Zomato Dinner,2520
2024-10-04,Zoom License,5259
2024-12-18,Zoom License,3031
2024-03-15,Repair Service,3723
2024-10-12,Office Chair,12444
2024-06-11,Local Vendor,1708
2024-06-12,Laptop Purchase,58163
2024-08-14,Facebook Ads,5970
2024-02-24,Ola Cab,1739
2024-11-09,Monitor Setup,9716
2024-04-28,Ola Cab,2102
2024-12-18,Payroll Transfer,25208
2024-11-05,Electricity Bill,4915
2024-04-04,WiFi Payment,3863
2024-03-11,Facebook Ads,8763
2024-01-17,Monitor Setup,22829
2024-07-30,Google Ads,5421
2024-04-14,Zoom License,6707
2024-11-11,Office Stationery,2099
2024-08-22,WiFi Payment,3461
2024-01-22,GitHub Pro,3816
2024-07-20,Canva Pro,6126
2024-02-25,Local Vendor,4465
2024-05-05,Broadband Recharge,1147
2024-10-12,Misc Purchase,521
